56009,I am a developer by profession,No,36,16,Yearly,150000,150000,United States,United States dollar,USD,NA,NA,"Designer;Developer, front-end","Associate degree (A.A., A.S., etc.)",Employed full-time,White or of European descent,Woman,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Specific department or team I’d be working on",Slightly dissatisfied,I am actively looking for a job,HTML/CSS;JavaScript,HTML/CSS;JavaScript,NA,Node.js,"Github;Google Suite (Docs, Meet, etc)","Confluence;Jira;Github;Slack;Google Suite (Docs, Meet, etc)",No,Extremely important,Not at all important/not necessary,Curious about other opportunities;Better compensation;Trouble with my teammates;Trouble with my direct manager;Trouble with leadership at my company;Wanting to work with new technologies;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Once a year,Yes,Yes,Yes,Often: 1-2 days per week or more,Start a free trial;Visit developer communities like Stack Overflow,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,MacOS,100 to 499 employees,NA,NA,I have some influence,Straight / Heterosexual,Yes,"No, not really",Less than once per month or monthly,A few times per week,Easy,Appropriate in length,No,NA,NA,Angular.js;React.js,Somewhat less welcome now than last year,50,20,18
56781,I am a developer by profession,No,30,24,Yearly,1e+05,1e+05,United States,United States dollar,USD,Microsoft SQL Server;MongoDB;PostgreSQL;Redis;SQLite,Microsoft SQL Server;PostgreSQL;Redis;SQLite,"Academic researcher;Data or business analyst;Data scientist or machine learning specialist;Database administrator;Developer, back-end;Developer, front-end;Developer, full-stack;Engineer, data;Product manager;System administrator","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,White or of European descent,Man,Flex time or a flexible schedule;Financial performance or funding status of the company or organization;Family friendliness,Very satisfied,I am not interested in new job opportunities,Go;JavaScript;Python;R;SQL,JavaScript;Python;R;SQL,Keras;Pandas;TensorFlow,Keras;Pandas;TensorFlow,"Github;Gitlab;Google Suite (Docs, Meet, etc)","Github;Gitlab;Google Suite (Docs, Meet, etc)",Yes,Somewhat important,Not at all important/not necessary,Curious about other opportunities;Better compensation;Wanting to work with new technologies;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Every few months,No,Onboarding? What onboarding?,No,Occasionally: 1-2 days per quarter but less than monthly,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd;Research companies that have advertised on sites I visit,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,Windows,"10,000 or more employees",Docker;Linux,Docker;Linux;Windows,I have some influence,Straight / Heterosexual,Yes,Neutral,Less than once per month or monthly,Daily or almost daily,Easy,Appropriate in length,No,"Fine arts or performing arts (such as graphic design, music, studio art, etc.)",Flask;Vue.js,Flask;jQuery;Vue.js,Just as welcome now as I felt last year,50,6,5
57195,I am a developer by profession,No,NA,15,Yearly,35000,35000,United States,United States dollar,USD,Redis,MongoDB;SQLite,Academic researcher;Data scientist or machine learning specialist;Scientist,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,White or of European descent,Man,NA,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",C++;Python;R;Rust,C;C++;Python,Torch/PyTorch,Apache Spark;Torch/PyTorch,Github;Gitlab;Slack;Trello,"Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)",No,Neutral,Critically important,NA,"Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Directly asking current or past employees at the company",Every few months,Not sure,Yes,Yes,Often: 1-2 days per week or more,NA,Indifferent,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),NA,Linux-based,"10,000 or more employees",AWS;IBM Cloud or Watson;Linux;MacOS,AWS;Linux;MacOS,I have little or no influence,Straight / Heterosexual,Yes,"No, not at all",Less than once per month or monthly,A few times per week,Neither easy nor difficult,Too long,No,"Computer science, computer engineering, or software engineering",NA,NA,Just as welcome now as I felt last year,65,10,6
57311,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,37,13,Monthly,150000,1800000,United States,United States dollar,USD,Cassandra;DynamoDB;Elasticsearch;MongoDB;MySQL;PostgreSQL;Redis,Cassandra;DynamoDB;Elasticsearch;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite,"Database administrator;Developer, back-end;Developer, full-stack;DevOps specialist;Engineering manager;System administrator","Associate degree (A.A., A.S., etc.)",Employed full-time,White or of European descent,Man,Remote work options;Financial performance or funding status of the company or organization;Office environment or company culture,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;Python;SQL,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;Python;SQL,Node.js;Teraform,Node.js;Teraform,"Confluence;Jira;Github;Slack;Google Suite (Docs, Meet, etc)","Confluence;Jira;Github;Slack;Microsoft Teams;Microsoft Azure;Google Suite (Docs, Meet, etc)",Yes,Extremely important,Somewhat important,Curious about other opportunities;Better compensation;Trouble with leadership at my company;Better work/life balance,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Read other media like news articles, founder profiles, etc. about the company",Once every few years,No,No,No,Often: 1-2 days per week or more,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Meditate;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,Linux-based,"5,000 to 9,999 employees",AWS;Docker;Google Cloud Platform;Linux;Windows,AWS;Docker;Linux;Windows,I have some influence,Straight / Heterosexual,Yes,Neutral,I have never participated in Q&A on Stack Overflow,A few times per week,Easy,Too long,No,"Computer science, computer engineering, or software engineering",Angular.js;Flask;jQuery,Angular.js;Flask;jQuery,Not applicable - I did not use Stack Overflow last year,55,24,15
57332,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,41,12,Yearly,150000,150000,United States,United States dollar,USD,Cassandra;Firebase,MySQL;PostgreSQL,"Data or business analyst;Engineer, data",NA,Employed full-time,Hispanic or Latino/a/x,Woman,"Languages, frameworks, and other technologies I’d be working with;Office environment or company culture;Family friendliness",Very satisfied,"I’m not actively looking, but I am open to new opportunities",Go,Bash/Shell/PowerShell;PHP;Python;SQL,Apache Spark;Pandas,Hadoop,Gitlab,Confluence;Jira;Github;Slack,Yes,Extremely important,Somewhat important,Trouble with leadership at my company,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Directly asking current or past employees at the company",NA,No,No,No,Often: 1-2 days per week or more,NA,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes),Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos,MacOS,"10,000 or more employees",Docker;Kubernetes;Raspberry Pi,AWS;Google Cloud Platform;Heroku,I have little or no influence,Straight / Heterosexual,Not sure/can't remember,"Yes, somewhat",NA,Daily or almost daily,Easy,Appropriate in length,No,"A social science (such as anthropology, psychology, political science, etc.)",Vue.js,Flask,Just as welcome now as I felt last year,50,2,1
57498,I am a developer by profession,Yes,27,14,Monthly,23000,276000,United States,United States dollar,USD,MySQL,MySQL,"Database administrator;Developer, back-end;DevOps specialist;Engineer, site reliability;Engineering manager;System administrator","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,White or of European descent,Man,Specific department or team I’d be working on;Remote work options;Opportunities for professional development,Very satisfied,I am not interested in new job opportunities,Python;Rust,C++;Go;HTML/CSS;JavaScript;PHP;Python;Ruby;Rust;SQL,Ansible,Chef,"Github;Facebook Workplace;Google Suite (Docs, Meet, etc)","Github;Facebook Workplace;Google Suite (Docs, Meet, etc)",Yes,Extremely important,Fairly important,Just because;Curious about other opportunities;Better work/life balance;Wanting to work with new technologies;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Directly asking current or past employees at the company",Once a year,Not sure,Yes,Yes,Often: 1-2 days per week or more,Ask developers I know/work with;Visit developer communities like Stack Overflow,Amused,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,Linux-based,"10,000 or more employees",Linux,Linux,I have some influence,Straight / Heterosexual,No,"No, not at all",NA,A few times per week,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",NA,Gatsby,Just as welcome now as I felt last year,50,13,11
57561,I am a developer by profession,Yes,37,17,Yearly,180000,180000,United States,United States dollar,USD,MongoDB,MongoDB,"Developer, front-end;Developer, full-stack;Developer, game or graphics","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,White or of European descent,Man,Flex time or a flexible schedule;Remote work options;Opportunities for professional development,Very satisfied,I am not interested in new job opportunities,C++;Dart;JavaScript;TypeScript,C++;JavaScript;TypeScript,Flutter;React Native,NA,Github,Confluence;Jira;Github,No,Extremely important,Not at all important/not necessary,Better compensation;Trouble with my teammates;Trouble with my direct manager;Trouble with leadership at my company,"Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family",Once every few years,No,Yes,No,Rarely: 1-2 days per year or less,NA,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes),Visit Stack Overflow,MacOS,"1,000 to 4,999 employees",MacOS,MacOS,I have little or no influence,Straight / Heterosexual,Yes,"No, not really",Less than once per month or monthly,A few times per week,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Express;React.js,Express;React.js,Just as welcome now as I felt last year,50,20,16
57673,I am a developer by profession,Yes,28,12,Yearly,175000,175000,United States,United States dollar,USD,Cassandra;Couchbase;Elasticsearch;PostgreSQL;Redis;SQLite,DynamoDB;Elasticsearch;MongoDB;MySQL;PostgreSQL;Redis;SQLite,"Developer, back-end;Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,White or of European descent,Man,"Languages, frameworks, and other technologies I’d be working with;Specific department or team I’d be working on;Office environment or company culture",Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Go;Java;JavaScript;Python;SQL;Swift,HTML/CSS;JavaScript;Python;Ruby;SQL;TypeScript,Flutter;Node.js;React Native;Teraform,Hadoop;Node.js;Teraform,Confluence;Jira;Gitlab,"Confluence;Jira;Github;Slack;Trello;Google Suite (Docs, Meet, etc)",Yes,Somewhat important,Not at all important/not necessary,Curious about other opportunities;Trouble with leadership at my company;Better work/life balance;Wanting to work with new technologies,"Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase)",Once a year,No,No,No,Often: 1-2 days per week or more,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Meditate;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,Linux-based,100 to 499 employees,Android;AWS;Docker;iOS;Kubernetes;Linux,AWS;Docker;Linux,I have some influence,Queer,Yes,"No, not at all",Less than once per month or monthly,A few times per week,Easy,Appropriate in length,No,"Fine arts or performing arts (such as graphic design, music, studio art, etc.)",Express;Flask;React.js;Spring,Django;Express;Flask;jQuery;React.js;Ruby on Rails;Vue.js,Just as welcome now as I felt last year,50,15,5
57866,I am a developer by profession,Yes,39,16,Yearly,67000,67000,United States,United States dollar,USD,Cassandra;Microsoft SQL Server;Oracle,Cassandra;Couchbase;Elasticsearch;MariaDB;Microsoft SQL Server;Oracle,"Designer;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,White or of European descent,Man,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Remote work options",Neither satisfied nor dissatisfied,"I’m not actively looking, but I am open to new opportunities",C#;Java;JavaScript;Python;Scala,C#;HTML/CSS;Java;JavaScript;Python;Scala;SQL,.NET;.NET Core;Apache Spark;TensorFlow;Unity 3D;Xamarin,.NET;.NET Core;Ansible;Apache Spark;Hadoop;TensorFlow;Unity 3D;Xamarin,"Github;Microsoft Teams;Microsoft Azure;Google Suite (Docs, Meet, etc)","Jira;Github;Microsoft Teams;Microsoft Azure;Google Suite (Docs, Meet, etc)",No,Extremely important,Critically important,Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company",Every few months,Yes,Yes,No,Often: 1-2 days per week or more,NA,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos,Windows,"5,000 to 9,999 employees",AWS;Docker;iOS;Linux;MacOS;Windows,AWS;Docker;iOS;Linux;MacOS;Windows,I have little or no influence,Straight / Heterosexual,Yes,"No, not really",Less than once per month or monthly,Multiple times per day,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",ASP.NET;ASP.NET Core;jQuery;Ruby on Rails,Angular;Angular.js;ASP.NET;ASP.NET Core;jQuery;React.js;Ruby on Rails;Spring,A lot less welcome now than last year,50,22,8
57954,I am a developer by profession,Yes,26,15,Yearly,195000,195000,United States,United States dollar,USD,DynamoDB;PostgreSQL;Redis,DynamoDB;Redis,"Data scientist or machine learning specialist;Developer, back-end;Developer, game or graphics;DevOps specialist;Engineer, data","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,White or of European descent,Man,How widely used or impactful my work output would be;Office environment or company culture;Opportunities for professional development,Very satisfied,I am not interested in new job opportunities,Bash/Shell/PowerShell;Python;Rust,Bash/Shell/PowerShell;HTML/CSS;Java;Python;Ruby;Rust,Keras;Torch/PyTorch;Unity 3D;Unreal Engine,Keras;Unity 3D;Unreal Engine,"Confluence;Github;Gitlab;Google Suite (Docs, Meet, etc)","Confluence;Github;Google Suite (Docs, Meet, etc)",No,Extremely important,Critically important,Curious about other opportunities;Better compensation;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Directly asking current or past employees at the company",Every few months,Not sure,No,No,Often: 1-2 days per week or more,NA,Amused,Stack Overflow (public Q&A for anyone who codes),Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,Linux-based,"10,000 or more employees",Android;AWS;Docker;Google Cloud Platform;Kubernetes;Linux,Android;AWS;Docker;Linux;MacOS,I have little or no influence,Straight / Heterosexual,Yes,"Yes, somewhat",A few times per month or weekly,A few times per week,Easy,Too short,No,"Computer science, computer engineering, or software engineering",Flask;React.js,Flask;Spring,Just as welcome now as I felt last year,50,11,7
